TransactionID,AccountID,TransactionDate,TransactionType,Amount,Channel,Country
95,1969,2024-06-17,Deposit,57739.13,Mobile,Singapore
96,1043,2024-06-19,Transfer,61767.74,ATM,India
97,1079,2025-02-02,Deposit,85071.72,Online,Singapore
98,1752,2026-04-05,Withdrawal,44259.51,Mobile,USA
99,1797,2024-10-23,Withdrawal,22822.65,Branch,Germany
100,432,2024-01-21,Transfer,50464.88,Online,Iran
101,1651,2025-03-21,Withdrawal,39993.33,Branch,Germany
102,1080,2024-08-09,Withdrawal,22686.9,ATM,UAE
103,1417,2025-08-12,Transfer,87459.72,Mobile,USA
104,718,2024-11-30,Withdrawal,85119.38,Online,UAE
105,1042,2025-10-20,Deposit,47593.2,Mobile,North Korea
106,907,2026-03-12,Transfer,84426.3,Branch,North Korea
107,624,2024-10-27,Transfer,83159.51,Online,USA
108,1449,2025-12-20,Withdrawal,79402.73,ATM,USA
109,180,2024-07-04,Withdrawal,54741.23,ATM,Afghanistan
110,94,2024-11-13,Transfer,14725.55,ATM,Canada
111,735,2025-03-18,Deposit,15772.31,ATM,Germany
112,608,2024-03-24,Deposit,24684.67,Online,Afghanistan
113,1996,2025-08-23,Deposit,17261.17,Mobile,USA
114,1781,2025-04-27,Deposit,14294.28,Mobile,Afghanistan
115,1071,2025-11-15,Deposit,83612.92,Branch,Iran
116,765,2024-04-11,Deposit,80892.64,Online,UAE
117,833,2024-09-03,Withdrawal,66070.63,Online,Afghanistan
118,1797,2025-08-24,Deposit,26061.8,Online,Iran
119,101,2024-06-12,Withdrawal,31541.06,ATM,Afghanistan
120,102,2025-11-11,Withdrawal,22384.96,Branch,Syria
121,988,2025-12-25,Deposit,46966.92,ATM,Iran
122,1721,2026-01-16,Withdrawal,80032.46,Online,UAE
123,1122,2025-05-26,Deposit,88555.38,Online,UAE
124,1562,2026-04-19,Deposit,80306.5,Online,North Korea
125,1072,2025-04-25,Deposit,26263.7,Mobile,Afghanistan
126,337,2025-02-15,Deposit,88289.59,Branch,Canada
127,1380,2025-05-06,Withdrawal,23955.93,Mobile,North Korea
128,20,2024-01-07,Withdrawal,88360.71,ATM,USA
129,1959,2025-10-12,Withdrawal,39286.82,Online,India
130,1873,2024-07-22,Deposit,30501.71,Online,UAE
131,440,2024-11-20,Deposit,97131.74,ATM,Singapore
132,538,2025-02-05,Transfer,13279.13,Online,Iran
133,74,2024-11-25,Withdrawal,60757.93,Branch,India
134,603,2024-11-05,Transfer,89670.62,Online,UK
135,1428,2026-04-29,Transfer,88699.6,Online,Canada
136,1895,2024-04-06,Withdrawal,65207.22,ATM,UK
137,1212,2025-07-17,Deposit,18899.27,Mobile,Iran
138,641,2025-07-11,Withdrawal,81719.87,Branch,Iran
139,1864,2025-03-18,Deposit,26768.52,Online,Singapore
140,1400,2025-12-15,Transfer,52611.28,ATM,Iran
141,1397,2025-10-07,Transfer,20389.98,Branch,Canada
142,902,2025-10-08,Withdrawal,633.92,Mobile,UAE
143,1980,2026-05-04,Transfer,90459.25,Online,India
144,545,2026-03-09,Deposit,38966.33,ATM,Syria
145,1387,2025-12-06,Transfer,9614.01,Branch,UK
146,496,2024-02-22,Deposit,92360.54,Branch,India
147,1613,2025-03-11,Withdrawal,18013.31,Branch,Germany
148,1858,2025-12-08,Deposit,72636.66,Mobile,North Korea
149,210,2024-08-17,Deposit,65576.52,Mobile,Iran
150,27,2024-12-17,Deposit,43058.47,Online,India
151,502,2025-08-12,Deposit,94280.5,Mobile,India
152,1919,2025-01-06,Withdrawal,14074.46,Branch,Afghanistan
153,825,2025-08-25,Deposit,98122.84,Mobile,Singapore
154,1207,2024-03-28,Withdrawal,11090.2,Online,Afghanistan
155,520,2024-01-15,Transfer,61524.19,Mobile,Germany
156,1474,2024-10-16,Transfer,83915.66,Branch,Syria
157,1756,2024-04-17,Transfer,28385.04,Branch,Germany
158,580,2024-01-23,Deposit,37897.61,Branch,India
159,178,2024-08-25,Transfer,23084.96,Online,Iran
160,664,2024-02-20,Deposit,27845.37,ATM,UK
161,1146,2024-09-15,Withdrawal,66305.46,Mobile,UK
162,1125,2024-02-17,Deposit,50337.45,ATM,Syria
163,679,2025-12-22,Withdrawal,11357.12,Mobile,Afghanistan
164,353,2024-08-17,Withdrawal,4842.59,Branch,USA
165,1386,2025-10-07,Deposit,37503.5,Branch,Syria
166,1730,2025-11-18,Deposit,64484.0,Online,North Korea
167,1297,2024-09-12,Transfer,70670.05,ATM,India
168,1466,2024-03-12,Deposit,11453.2,Online,North Korea
169,1974,2026-01-25,Transfer,54561.18,Mobile,USA
170,693,2026-05-13,Transfer,9639.08,ATM,UAE
171,1659,2025-10-08,Deposit,74212.9,ATM,India
172,470,2025-04-18,Withdrawal,5185.0,ATM,USA
173,882,2025-07-21,Withdrawal,54108.33,ATM,UAE
174,110,2025-12-15,Withdrawal,52688.36,Branch,Germany
175,884,2024-09-01,Withdrawal,81255.91,Online,Germany
176,1828,2025-01-09,Deposit,94423.4,Online,Singapore
177,259,2024-02-10,Transfer,34737.51,Branch,Singapore
178,1650,2025-01-30,Deposit,93643.79,Online,Afghanistan
179,907,2024-05-08,Transfer,13523.09,ATM,India
180,136,2024-09-14,Transfer,53415.55,Branch,Syria
181,1746,2025-04-25,Withdrawal,3434.57,Branch,Afghanistan
182,1299,2024-07-21,Withdrawal,2907.99,Mobile,USA
183,450,2024-02-09,Transfer,51137.1,ATM,USA
184,211,2025-02-14,Withdrawal,44706.42,Online,Canada
185,1083,2025-09-30,Transfer,38877.37,Mobile,UK
186,1821,2024-12-18,Transfer,66664.21,Mobile,Canada
187,467,2026-03-15,Withdrawal,1614.43,ATM,India
188,1122,2026-05-24,Deposit,98645.22,Branch,India
189,1519,2025-11-09,Withdrawal,14783.83,ATM,Germany
190,1307,2025-02-13,Transfer,29023.6,Online,Afghanistan
191,440,2025-12-29,Deposit,57176.15,Mobile,Canada
192,1918,2024-10-01,Transfer,29028.18,ATM,UAE
193,943,2024-06-22,Deposit,9154.23,Online,UAE
194,767,2025-12-03,Withdrawal,44580.02,Mobile,Syria
195,1432,2025-08-14,Transfer,43375.32,Mobile,UK
196,116,2026-01-08,Withdrawal,18531.76,ATM,UAE
197,1139,2024-11-02,Withdrawal,24149.1,ATM,UAE
198,886,2024-02-05,Withdrawal,10947.48,Branch,North Korea
199,1337,2025-03-08,Withdrawal,58889.71,ATM,Iran
200,1126,2024-08-24,Deposit,66492.78,Mobile,Canada
201,1754,2024-01-16,Transfer,38891.6,Mobile,Afghanistan
202,49,2025-09-19,Transfer,91457.21,Branch,Iran
203,524,2025-01-13,Deposit,13036.72,ATM,India
204,467,2025-02-06,Deposit,3518.75,Mobile,UAE
205,229,2026-03-04,Withdrawal,74541.08,ATM,UAE
206,1776,2024-11-09,Withdrawal,89876.52,Branch,India
207,399,2024-08-22,Deposit,89820.95,ATM,UAE
208,695,2024-04-11,Transfer,47792.69,Mobile,Afghanistan
209,1542,2025-09-16,Withdrawal,36682.02,Branch,USA
210,18,2025-04-29,Deposit,27444.31,Mobile,Iran
211,1171,2025-10-12,Withdrawal,96756.29,Online,Singapore
212,1176,2024-06-30,Withdrawal,34145.28,Online,UAE
213,1748,2025-08-11,Deposit,75701.11,Mobile,North Korea
214,1827,2025-09-01,Transfer,50727.88,Branch,Singapore
215,919,2025-12-23,Transfer,25791.97,ATM,Canada
216,1154,2024-08-26,Withdrawal,49584.2,Branch,Canada
217,1046,2024-08-17,Withdrawal,82754.34,Mobile,Germany
218,1383,2024-01-14,Transfer,63907.83,Branch,North Korea
219,866,2025-12-25,Transfer,13108.64,Mobile,North Korea
220,1226,2024-08-02,Withdrawal,89675.87,Online,North Korea
221,488,2026-01-22,Deposit,55301.82,Online,Canada
222,302,2026-06-10,Deposit,28533.21,Mobile,Afghanistan
223,1437,2025-09-30,Withdrawal,17533.18,ATM,Canada
224,434,2025-10-26,Transfer,31208.78,Branch,North Korea
225,930,2026-01-28,Withdrawal,54014.27,ATM,Germany
226,1149,2024-01-02,Deposit,82466.44,Online,Syria
227,433,2025-09-21,Deposit,53430.0,ATM,Iran
228,342,2026-03-27,Withdrawal,2327.75,Online,India
229,194,2026-04-19,Transfer,94610.37,Branch,Iran
230,1699,2025-09-11,Deposit,46842.11,Branch,North Korea
231,1117,2026-05-03,Withdrawal,22083.41,Branch,UAE
232,1048,2025-11-03,Withdrawal,91171.51,ATM,UAE
233,811,2024-05-02,Deposit,23565.33,Branch,Iran
234,1190,2024-05-05,Deposit,90030.45,Mobile,Syria
235,360,2024-05-06,Transfer,15287.06,ATM,North Korea
236,1680,2025-07-07,Withdrawal,79165.54,Mobile,Singapore
237,1754,2024-03-10,Deposit,77328.38,Branch,North Korea
238,1293,2024-07-27,Deposit,71440.48,Online,North Korea
239,831,2024-09-03,Transfer,57757.56,ATM,Iran
240,1104,2025-04-13,Withdrawal,2942.16,Branch,Afghanistan
241,49,2026-05-18,Transfer,73629.65,ATM,Syria
242,1346,2026-03-03,Withdrawal,34190.36,Branch,Iran
243,563,2025-07-17,Deposit,3384.35,Branch,Canada
244,1832,2025-05-02,Withdrawal,51614.15,Mobile,India
245,1292,2025-10-19,Transfer,40707.27,Mobile,UK
246,1099,2025-02-10,Deposit,21227.9,Mobile,Syria
247,1135,2024-12-10,Transfer,91950.77,Mobile,Afghanistan
248,1580,2026-01-10,Withdrawal,48174.54,Online,UAE
249,1437,2025-03-18,Transfer,26799.0,Mobile,Germany
250,387,2024-01-22,Withdrawal,66917.88,Branch,USA
251,369,2025-03-04,Transfer,26315.56,Mobile,UK
252,1756,2024-03-09,Deposit,12267.25,Mobile,UK
253,1945,2026-01-14,Transfer,66814.06,Branch,Afghanistan
254,1479,2024-12-12,Transfer,29024.69,Mobile,Syria
255,1688,2024-07-02,Transfer,84329.56,Mobile,North Korea
256,1448,2025-04-27,Withdrawal,33249.76,Branch,Afghanistan
257,1672,2025-01-02,Transfer,57791.81,Branch,Singapore
258,1224,2025-02-07,Transfer,91715.44,Mobile,Syria
259,1869,2024-05-25,Transfer,39849.67,Branch,Iran
260,1880,2024-06-25,Deposit,63286.84,Branch,USA
261,1475,2025-04-26,Deposit,98506.46,ATM,USA
262,642,2025-05-28,Deposit,37296.88,Mobile,Afghanistan
263,1395,2024-12-14,Withdrawal,43672.79,Branch,Singapore
264,504,2024-05-22,Deposit,27244.52,Branch,Iran
265,1183,2025-06-13,Deposit,69018.91,ATM,Germany
266,340,2025-12-27,Withdrawal,5530.49,Mobile,UAE
267,535,2024-10-12,Transfer,83032.59,ATM,Singapore
268,1733,2026-04-25,Transfer,92691.92,Branch,UK
269,544,2026-06-13,Withdrawal,18120.05,Mobile,UAE
270,1070,2024-01-10,Withdrawal,30971.67,Online,Afghanistan
271,1170,2024-03-05,Transfer,79482.54,Online,Iran
272,832,2024-09-29,Withdrawal,22787.22,ATM,Afghanistan
273,1572,2025-01-13,Withdrawal,73599.56,ATM,Singapore
274,548,2024-06-24,Withdrawal,69192.14,Mobile,Germany
275,1230,2024-09-06,Withdrawal,58709.1,Online,Syria
276,1973,2024-08-12,Transfer,53580.03,ATM,Germany
277,1376,2024-04-30,Transfer,38149.38,Online,Afghanistan
278,328,2024-05-14,Deposit,40203.62,Online,Singapore
279,1199,2024-06-05,Deposit,15756.43,ATM,Singapore
280,1603,2025-04-20,Deposit,9764.13,Branch,Afghanistan
281,800,2024-10-06,Transfer,35393.35,Branch,Singapore
282,1429,2025-05-09,Deposit,1007.11,ATM,Germany
283,198,2024-01-26,Withdrawal,10910.03,Mobile,Canada
284,281,2025-02-17,Withdrawal,9834.62,Mobile,India
285,1895,2025-09-16,Withdrawal,19686.75,Branch,India
286,1885,2024-04-04,Deposit,68460.61,Branch,Afghanistan
287,1655,2026-05-11,Deposit,24004.83,Online,USA
288,1766,2024-06-12,Transfer,77629.83,ATM,UK
289,700,2024-09-25,Transfer,44259.33,Branch,Syria
290,1929,2024-07-30,Deposit,64736.2,Branch,North Korea
291,413,2024-07-09,Deposit,48470.03,Mobile,Syria
292,65,2024-01-14,Transfer,82471.68,Online,Iran
293,1758,2024-11-07,Transfer,72607.44,Mobile,North Korea
294,903,2024-02-03,Deposit,83780.36,Online,USA
295,1950,2025-11-09,Withdrawal,74824.48,Mobile,India
296,97,2025-02-20,Withdrawal,93092.37,Mobile,USA
297,1765,2024-09-04,Withdrawal,60399.04,Mobile,India
298,416,2024-10-04,Withdrawal,29322.68,ATM,UK
299,1984,2024-07-06,Withdrawal,36494.87,Online,India
300,1000,2024-07-11,Transfer,34549.53,Mobile,Afghanistan
301,1130,2024-09-09,Transfer,91280.68,ATM,Singapore
302,1403,2024-05-23,Deposit,34746.17,ATM,India
303,682,2024-01-24,Deposit,84279.86,Mobile,UK
304,882,2024-04-23,Transfer,23977.48,ATM,Afghanistan
305,299,2024-08-16,Withdrawal,94470.18,Online,Singapore
306,1209,2026-02-15,Transfer,77088.67,Branch,USA
307,1329,2024-02-05,Transfer,79092.84,Mobile,Syria
308,1015,2024-08-23,Transfer,57701.48,Branch,UK
309,1266,2024-04-09,Deposit,93242.05,Online,Canada
310,1417,2025-11-07,Transfer,16035.17,ATM,UK
311,1183,2024-05-08,Deposit,43582.32,Branch,UAE
312,1226,2026-03-08,Withdrawal,48792.74,Online,Canada
313,1761,2024-02-12,Transfer,68359.02,Branch,Germany
314,1595,2024-11-11,Deposit,60826.94,ATM,Syria
315,1735,2024-12-07,Transfer,56519.31,Online,Singapore
316,1658,2026-05-29,Transfer,41257.49,Branch,Afghanistan
317,1206,2025-07-06,Withdrawal,2388.89,Online,Germany
318,1211,2025-03-24,Withdrawal,44263.99,Online,India
319,1941,2024-05-16,Transfer,61575.44,Branch,Canada
320,739,2025-07-02,Withdrawal,93296.3,Online,North Korea
321,703,2024-12-27,Withdrawal,27551.82,ATM,Canada
322,302,2024-06-04,Deposit,27401.12,Branch,Canada
323,579,2025-05-13,Transfer,43897.85,Online,UAE
324,1033,2025-03-28,Deposit,48162.03,Branch,North Korea
325,666,2024-01-03,Deposit,93931.82,Mobile,UAE
326,1477,2024-09-04,Withdrawal,73464.96,Branch,India
327,961,2025-04-03,Withdrawal,67934.6,Mobile,UAE
328,1044,2025-01-06,Withdrawal,40371.75,Branch,Germany
329,408,2024-05-31,Withdrawal,74927.23,ATM,India
330,824,2024-04-28,Withdrawal,21551.22,Mobile,Singapore
331,925,2024-01-26,Transfer,37445.17,Branch,Canada
332,442,2024-12-02,Deposit,29609.41,Online,UAE
333,118,2025-02-19,Withdrawal,48731.8,Mobile,Iran
334,1140,2024-07-30,Deposit,95578.71,Mobile,Iran
335,1454,2024-02-27,Deposit,26689.86,Mobile,UAE
336,403,2024-03-15,Transfer,76343.07,Mobile,UK
337,1774,2026-06-10,Withdrawal,23594.67,Mobile,Canada
338,1224,2024-08-30,Deposit,21349.29,Branch,Singapore
339,692,2026-05-27,Transfer,10828.63,ATM,USA
340,731,2024-05-23,Withdrawal,44332.58,Mobile,Syria
341,1205,2024-03-30,Deposit,41900.18,ATM,Canada
342,329,2026-05-12,Withdrawal,89028.82,Online,USA
343,1032,2024-12-15,Withdrawal,49218.68,ATM,Afghanistan
344,88,2025-06-24,Transfer,2807.31,ATM,UAE
345,788,2024-12-17,Withdrawal,12039.53,Mobile,Singapore
346,1559,2024-01-24,Withdrawal,79331.99,Branch,Germany
347,544,2024-07-27,Transfer,30861.66,ATM,UK
348,1992,2026-02-14,Transfer,81932.25,Mobile,USA
349,610,2024-12-25,Deposit,96859.7,ATM,Germany
350,1901,2025-03-28,Deposit,23596.7,ATM,USA
351,376,2024-03-24,Deposit,42061.92,Mobile,Singapore
352,1393,2024-12-05,Transfer,11034.43,Branch,UAE
353,323,2025-08-30,Deposit,99763.8,ATM,Germany
354,1708,2026-01-20,Withdrawal,82922.18,Online,Germany
355,271,2025-11-15,Withdrawal,49570.88,Online,USA
356,1005,2026-03-22,Deposit,8345.35,Mobile,Singapore
357,1191,2026-05-26,Deposit,31727.51,ATM,USA
358,1651,2025-09-04,Deposit,40929.62,ATM,Afghanistan
359,605,2026-03-27,Transfer,65754.77,Online,UAE
360,981,2026-04-06,Withdrawal,89404.03,Online,USA
361,1482,2025-05-27,Withdrawal,1189.84,Online,North Korea
362,1918,2024-05-06,Transfer,79064.41,Mobile,UK
363,51,2025-01-06,Withdrawal,1011.4,Mobile,UAE
364,1790,2025-07-10,Withdrawal,63679.39,Online,UAE
365,353,2024-02-14,Deposit,61157.12,Mobile,UK
366,427,2024-06-01,Withdrawal,70401.37,ATM,Germany
367,1405,2024-08-08,Deposit,60275.45,Online,UAE
368,470,2024-09-01,Deposit,48256.9,ATM,North Korea
369,1436,2024-05-31,Withdrawal,96978.72,Branch,Canada
370,1663,2026-04-17,Withdrawal,54776.15,ATM,USA
371,505,2026-02-04,Deposit,74379.73,Online,USA
372,152,2025-09-09,Deposit,26210.45,ATM,Syria
373,709,2025-04-22,Transfer,77500.68,Branch,Singapore
374,749,2025-12-24,Deposit,46724.81,ATM,Afghanistan
375,1169,2025-01-17,Withdrawal,9858.4,ATM,UAE
376,1864,2025-05-10,Transfer,59412.42,Mobile,Syria
377,596,2026-04-09,Transfer,12497.02,ATM,Syria
378,606,2024-05-30,Transfer,21797.1,Online,USA
379,1943,2025-04-18,Withdrawal,49726.02,Branch,Singapore
380,768,2026-02-07,Withdrawal,6580.16,Mobile,North Korea
381,179,2025-04-24,Transfer,52461.42,Mobile,Iran
382,1376,2024-05-17,Transfer,78205.3,Online,India
383,1741,2024-05-11,Withdrawal,31552.01,Mobile,UAE
384,1690,2024-03-15,Transfer,29034.65,ATM,USA
385,1875,2024-07-17,Withdrawal,15303.52,Mobile,UK
386,1419,2024-06-06,Withdrawal,72166.09,Branch,Afghanistan
387,967,2025-02-20,Withdrawal,45617.45,Branch,Syria
388,1844,2026-06-15,Withdrawal,30575.65,ATM,Iran
389,1405,2026-06-03,Withdrawal,75259.77,Online,North Korea
390,1173,2026-05-08,Transfer,77973.8,Online,UK
391,1014,2025-02-11,Withdrawal,39573.83,Online,Canada
392,1769,2024-12-02,Deposit,79756.89,Branch,Afghanistan
393,463,2025-04-05,Transfer,38687.23,Branch,India
394,421,2025-06-17,Withdrawal,99209.25,Branch,Germany
395,1849,2026-06-02,Transfer,68461.94,Mobile,Syria
396,1848,2026-03-19,Deposit,35432.2,Branch,Germany
397,244,2025-09-01,Deposit,67378.44,Mobile,Germany
398,1,2025-06-16,Deposit,67648.28,Online,USA
399,484,2024-07-15,Transfer,25786.43,Branch,UAE
400,1009,2024-04-25,Withdrawal,58082.52,Online,Singapore
401,1615,2024-06-07,Transfer,34855.11,ATM,USA
402,785,2024-05-21,Deposit,80663.9,Branch,USA
403,938,2026-05-06,Withdrawal,98091.18,Branch,Afghanistan
404,289,2026-01-24,Transfer,25323.11,Branch,Singapore
405,171,2026-01-31,Withdrawal,12702.13,Mobile,Afghanistan
406,1215,2025-09-11,Deposit,11726.41,ATM,UAE
407,677,2025-01-27,Withdrawal,11233.76,Branch,Germany
408,61,2026-02-03,Withdrawal,75101.96,Online,Singapore
409,1090,2024-10-30,Deposit,4764.81,Mobile,India
410,1071,2024-11-20,Withdrawal,17189.22,Online,Iran
411,1159,2024-04-06,Deposit,55144.68,Online,North Korea
412,434,2024-05-25,Deposit,56284.53,ATM,India
413,1048,2025-11-10,Transfer,33350.79,Branch,Germany
414,792,2025-07-22,Deposit,27324.98,Online,UK
415,590,2024-10-10,Withdrawal,24549.93,Online,UAE
416,1337,2024-08-16,Transfer,16028.63,ATM,UK
417,547,2025-11-19,Deposit,48943.58,Online,Canada
418,179,2024-04-16,Transfer,61248.83,Mobile,Syria
419,280,2024-10-30,Deposit,76640.87,Online,North Korea
420,638,2024-04-01,Withdrawal,61264.99,Branch,Singapore
421,429,2025-03-08,Deposit,75421.45,Branch,Singapore
422,1969,2025-01-02,Withdrawal,14295.76,Mobile,North Korea
423,1588,2025-02-24,Deposit,94425.89,Online,Afghanistan
424,1078,2026-06-04,Transfer,94179.91,Branch,North Korea
425,1640,2024-05-09,Transfer,89526.81,Online,USA
426,806,2026-02-17,Withdrawal,78218.39,ATM,Afghanistan
427,1934,2026-01-11,Transfer,36411.7,Online,Germany
428,926,2025-02-01,Deposit,67646.22,ATM,Afghanistan
429,380,2025-02-13,Deposit,3307.85,Mobile,Canada
430,1386,2025-01-31,Transfer,6228.21,ATM,Germany
431,956,2026-06-19,Transfer,53676.09,ATM,Singapore
432,1509,2024-12-03,Withdrawal,95033.94,Branch,USA
433,1117,2024-09-16,Deposit,22600.93,ATM,Canada
434,1130,2025-09-13,Deposit,83909.83,Online,Singapore
435,943,2024-05-01,Transfer,47923.7,Mobile,Canada
436,75,2024-06-21,Transfer,81391.06,ATM,Syria
437,434,2026-02-06,Deposit,75372.41,Online,Afghanistan
438,119,2024-05-08,Withdrawal,69389.97,ATM,Germany
439,1460,2024-11-14,Transfer,41482.34,Branch,Iran
440,1070,2024-01-31,Transfer,64245.42,Mobile,Singapore
441,1133,2025-11-11,Withdrawal,28925.89,Mobile,UK
442,936,2024-07-15,Withdrawal,93337.77,Branch,North Korea
443,54,2025-10-02,Deposit,57306.21,Mobile,North Korea
444,606,2024-08-17,Deposit,21052.66,ATM,Germany
445,1228,2024-06-29,Transfer,65279.8,Branch,UAE
446,1859,2024-08-25,Deposit,87528.29,Online,UAE
447,1381,2026-05-29,Withdrawal,18389.81,Online,India
448,1770,2025-08-31,Withdrawal,26917.28,ATM,Canada
449,1926,2025-12-19,Transfer,97994.09,Mobile,Canada
450,146,2025-06-16,Deposit,52920.33,Mobile,Canada
451,942,2026-05-22,Withdrawal,26554.11,Mobile,Singapore
452,865,2024-06-17,Withdrawal,1368.87,Mobile,Iran
453,1513,2024-08-01,Deposit,23229.43,ATM,Canada
454,1309,2025-03-21,Deposit,13977.07,Mobile,UK
455,626,2025-09-27,Transfer,69748.03,Online,Singapore
456,909,2025-05-08,Withdrawal,80342.36,Branch,North Korea
457,1306,2025-03-30,Transfer,26010.0,Branch,UK
